Nom,price,time,adress,Open,Close
Théatre de la Pépinière,0.0,2.0,"7 Rue Louis le Grand, 75002 Paris France",9.0,21.0
Cathédrale grecque Saint-Étienne de Paris,0.0,0.0,"7 Rue Georges Bizet, 75116 Paris France",9.0,21.0
La Statue de Marguerite de Navarre,0.0,0.0,"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France",9.0,21.0
Observatoire de Paris,0.0,0.0,"61 avenue de l'Observatoire, 75014 Paris France",9.0,21.0
Cite de la Mode Et du Design,0.0,2.0,"28 quai D Austerlitz, 75013 Paris France",10.0,0.0
Esplanade Habib-Bourguiba,0.0,0.0,Tout afficher,9.0,21.0
Théâtre Tristan Bernard,0.0,2.0,"64 rue du Rocher, 75008 Paris France",9.0,21.0
Passage du Caire,0.0,2.0,"Place du Caire 239 Rue Saint Denis, 75002 Paris France",7.0,18.3
Théâtre de Dix Heures,0.0,0.0,"36 boulevard de Clichy, 75018 Paris France",14.0,23.3
Commanderie du Clos-Montmartre,0.0,0.0,"9 rue Norvins, 75018 Paris France",9.0,21.0
Fontaine des Fleuves,0.0,0.0,"Place de la Concorde, 75008 Paris France",0.0,23.59
Espace Fondation EDF,0.0,2.0,"6 rue Récamier, 75007 Paris France",9.0,21.0
Place du Caire,0.0,0.0,"Rue des Petits-Carreaux, 75002 Paris France",0.0,23.59
